   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 <decorator-gen-7>:1(<module>)
        3    0.000    0.000    0.000    0.000 <decorator-gen-7>:1(_held_figure)
        1    0.000    0.000    0.000    0.000 <decorator-gen-8>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-9>:1(<module>)
  5102/25    0.025    0.000    5.022    0.201 <frozen importlib._bootstrap>:1002(_find_and_load)
    63/58    0.000    0.000    1.141    0.020 <frozen importlib._bootstrap>:1018(_gcd_import)
7889/3343    0.012    0.000    3.121    0.001 <frozen importlib._bootstrap>:1033(_handle_fromlist)
     9203    0.017    0.000    0.021    0.000 <frozen importlib._bootstrap>:112(release)
     5102    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap>:152(__init__)
     5102    0.006    0.000    0.104    0.000 <frozen importlib._bootstrap>:156(__enter__)
     5102    0.004    0.000    0.018    0.000 <frozen importlib._bootstrap>:160(__exit__)
     9203    0.024    0.000    0.037    0.000 <frozen importlib._bootstrap>:166(_get_module_lock)
     5023    0.007    0.000    0.010    0.000 <frozen importlib._bootstrap>:185(cb)
     4101    0.005    0.000    0.028    0.000 <frozen importlib._bootstrap>:203(_lock_unlock_module)
  6315/12    0.005    0.000    5.017    0.418 <frozen importlib._bootstrap>:220(_call_with_frames_removed)
    39620    0.011    0.000    0.011    0.000 <frozen importlib._bootstrap>:231(_verbose_message)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:241(_requires_builtin_wrapper)
     4563    0.005    0.000    0.005    0.000 <frozen importlib._bootstrap>:35(_new_module)
     5379    0.122    0.000    0.122    0.000 <frozen importlib._bootstrap>:351(__init__)
     9404    0.006    0.000    0.066    0.000 <frozen importlib._bootstrap>:385(cached)
    13604    0.008    0.000    0.011    0.000 <frozen importlib._bootstrap>:398(parent)
     4855    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:406(has_location)
       12    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap>:415(spec_from_loader)
     4855    0.021    0.000    0.113    0.000 <frozen importlib._bootstrap>:486(_init_module_attrs)
4855/4841    0.009    0.000    0.681    0.000 <frozen importlib._bootstrap>:558(module_from_spec)
     5023    0.006    0.000    0.009    0.000 <frozen importlib._bootstrap>:58(__init__)
  4855/13    0.020    0.000    5.018    0.386 <frozen importlib._bootstrap>:659(_load_unlocked)
     4992    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:736(find_spec)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:757(create_module)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:765(exec_module)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:782(is_package)
     4988    0.002    0.000    0.005    0.000 <frozen importlib._bootstrap>:811(find_spec)
     9203    0.074    0.000    0.078    0.000 <frozen importlib._bootstrap>:87(acquire)
    15299    0.005    0.000    0.007    0.000 <frozen importlib._bootstrap>:874(__enter__)
    15299    0.005    0.000    0.007    0.000 <frozen importlib._bootstrap>:878(__exit__)
4992/4986    0.032    0.000    0.491    0.000 <frozen importlib._bootstrap>:901(_find_spec)
       63    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:948(_sanity_check)
  5059/22    0.020    0.000    5.021    0.228 <frozen importlib._bootstrap>:967(_find_and_load_unlocked)
     4567    0.004    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1006(__init__)
     4564    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1031(get_filename)
     4563    0.013    0.000    0.184    0.000 <frozen importlib._bootstrap_external>:1036(get_data)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1047(get_resource_reader)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1057(resource_path)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1063(is_resource)
     4562    0.004    0.000    0.025    0.000 <frozen importlib._bootstrap_external>:1077(path_stats)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1082(_cache_bytecode)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1087(set_data)
      283    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1155(__init__)
  280/276    0.001    0.000    0.531    0.002 <frozen importlib._bootstrap_external>:1171(create_module)
  280/231    0.001    0.000    0.097    0.000 <frozen importlib._bootstrap_external>:1179(exec_module)
    39209    0.031    0.000    0.080    0.000 <frozen importlib._bootstrap_external>:121(_path_join)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1212(__init__)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1218(_find_parent_path_names)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1228(_get_parent_path)
    39209    0.031    0.000    0.041    0.000 <frozen importlib._bootstrap_external>:123(<listcomp>)
        9    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1232(_recalculate)
        9    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1245(__iter__)
     9133    0.014    0.000    0.031    0.000 <frozen importlib._bootstrap_external>:127(_path_split)
    18266    0.006    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:129(<genexpr>)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1293(exec_module)
        1    0.001    0.001    0.001    0.001 <frozen importlib._bootstrap_external>:1314(invalidate_caches)
      583    0.002    0.000    0.019    0.000 <frozen importlib._bootstrap_external>:1324(_path_hooks)
     6521    0.006    0.000    0.027    0.000 <frozen importlib._bootstrap_external>:1337(_path_importer_cache)
    21283    0.010    0.000    0.121    0.000 <frozen importlib._bootstrap_external>:135(_path_stat)
4992/4988    0.019    0.000    0.428    0.000 <frozen importlib._bootstrap_external>:1374(_get_spec)
     4988    0.005    0.000    0.433    0.000 <frozen importlib._bootstrap_external>:1406(find_spec)
       19    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1443(find_distributions)
     9554    0.007    0.000    0.059    0.000 <frozen importlib._bootstrap_external>:145(_path_is_mode_type)
      587    0.003    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1466(__init__)
     4680    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1472(<genexpr>)
      564    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1482(invalidate_caches)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1488(find_loader)
     4850    0.007    0.000    0.147    0.000 <frozen importlib._bootstrap_external>:1500(_get_spec)
     6582    0.056    0.000    0.402    0.000 <frozen importlib._bootstrap_external>:1505(find_spec)
     8595    0.005    0.000    0.060    0.000 <frozen importlib._bootstrap_external>:154(_path_isfile)
      599    0.003    0.000    0.026    0.000 <frozen importlib._bootstrap_external>:1556(_fill_cache)
      959    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:159(_path_isdir)
      584    0.001    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:1597(path_hook_for_FileFinder)
      870    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:175(_path_isabs)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:180(_write_atomic)
     9124    0.030    0.000    0.087    0.000 <frozen importlib._bootstrap_external>:361(cache_from_source)
     4842    0.007    0.000    0.060    0.000 <frozen importlib._bootstrap_external>:491(_get_cached)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:503(_calc_mode)
4566/4564    0.005    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:523(_check_name_wrapper)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:543(_find_module_shim)
     4561    0.009    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:560(_classify_pyc)
     4561    0.006    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:593(_validate_timestamp_pyc)
     4561    0.009    0.000    0.542    0.000 <frozen importlib._bootstrap_external>:645(_compile_bytecode)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:658(_code_to_timestamp_pyc)
     6582    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:68(_relax_case)
     4850    0.013    0.000    0.135    0.000 <frozen importlib._bootstrap_external>:696(spec_from_file_location)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:74(_pack_uint32)
    13683    0.009    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:79(_unpack_uint32)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:833(is_package)
     4562    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:841(create_module)
  4562/13    0.011    0.000    5.017    0.386 <frozen importlib._bootstrap_external>:844(exec_module)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:908(source_to_code)
     4562    0.036    0.000    0.862    0.000 <frozen importlib._bootstrap_external>:916(get_code)
      584    0.003    0.000    0.006    0.000 <frozen zipimport>:63(__init__)
     1518    0.001    0.000    0.001    0.000 <string>:1(<lambda>)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
        1    0.000    0.000    0.000    0.000 <string>:1(__create_fn__)
       12    0.000    0.000    0.013    0.001 <string>:1(__init__)
       12    0.000    0.000    0.008    0.001 <string>:1(__new__)
        1    0.000    0.000    0.000    0.000 <string>:1(_generated_copy_internals_traversal)
       12    0.000    0.000    0.000    0.000 <string>:1(_generated_get_children_traversal)
        1    0.000    0.000    0.000    0.000 <string>:2(<module>)
      211    0.000    0.000    0.000    0.000 <string>:2(__eq__)
     6040    0.002    0.000    0.003    0.000 <string>:2(__hash__)
        5    0.000    0.000    0.000    0.000 <string>:2(__init__)
     2355    0.001    0.000    0.001    0.000 <string>:2(__lt__)
        1    0.000    0.000    0.000    0.000 <string>:3(<module>)
        1    0.000    0.000    0.000    0.000 <string>:4(cy_wrap)
        1    0.000    0.000    0.000    0.000 ATN.py:14(ATN)
        2    0.000    0.000    0.000    0.000 ATN.py:24(__init__)
        1    0.000    0.000    0.003    0.003 ATN.py:5(<module>)
      666    0.000    0.000    0.001    0.000 ATN.py:75(addState)
        1    0.000    0.000    0.000    0.000 ATNConfig.py:116(LexerATNConfig)
        1    0.000    0.000    0.119    0.119 ATNConfig.py:14(<module>)
        1    0.000    0.000    0.000    0.000 ATNConfig.py:23(ATNConfig)
        1    0.000    0.000    0.000    0.000 ATNConfigSet.py:11(<module>)
        1    0.000    0.000    0.000    0.000 ATNConfigSet.py:209(OrderedATNConfigSet)
        1    0.000    0.000    0.000    0.000 ATNConfigSet.py:22(ATNConfigSet)
        3    0.000    0.000    0.000    0.000 ATNConfigSet.py:36(__init__)
        1    0.000    0.000    0.000    0.000 ATNDeserializationOptions.py:13(__init__)
        4    0.000    0.000    0.000    0.000 ATNDeserializationOptions.py:18(__setattr__)
        1    0.000    0.000    0.000    0.000 ATNDeserializationOptions.py:6(<module>)
        1    0.000    0.000    0.000    0.000 ATNDeserializationOptions.py:8(ATNDeserializationOptions)
        2    0.000    0.000    0.000    0.000 ATNDeserializer.py:102(checkUUID)
        2    0.000    0.000    0.000    0.000 ATNDeserializer.py:109(readATN)
        2    0.001    0.000    0.004    0.002 ATNDeserializer.py:115(readStates)
        2    0.000    0.000    0.000    0.000 ATNDeserializer.py:156(readRules)
        2    0.000    0.000    0.000    0.000 ATNDeserializer.py:180(readModes)
        4    0.000    0.000    0.000    0.000 ATNDeserializer.py:186(readSets)
        2    0.002    0.001    0.006    0.003 ATNDeserializer.py:200(readEdges)
